batch,pairId
1,P20|P9
1,P17|P19
1,P11|P2
1,P12|P3
1,P10|P9
1,P18|P8
1,P11|P6
1,P19|P3
1,P19|P6
1,P2|P8
1,P11|P7
1,P1|P11
1,P14|P4
1,P4|P9
1,P15|P18
1,P16|P2
1,P17|P6
1,P13|P16
1,P18|P19
1,P17|P4
1,P12|P19
1,P13|P19
1,P12|P7
1,P14|P3
1,P12|P19
1,P14|P16
1,P14|P19
1,P12|P7
1,P3|P4
1,P17|P8
1,P12|P14
1,P11|P18
1,P20|P3
1,P17|P7
1,P11|P5
1,P14|P9
1,P15|P18
1,P15|P4
1,P11|P9
1,P11|P15
1,P10|P11
1,P18|P4
1,P8|P9
1,P15|P7
1,P10|P14
1,P10|P17
1,P20|P4
1,P14|P20
1,P15|P19
2,P12|P7
2,P15|P8
2,P2|P5
2,P1|P10
2,P19|P4
2,P11|P7
2,P16|P9
2,P19|P4
2,P11|P6
2,P15|P5
2,P16|P7
2,P1|P7
2,P14|P8
2,P3|P6
2,P11|P15
2,P6|P9
2,P18|P2
2,P15|P4
2,P1|P13
2,P10|P19
2,P4|P5
2,P6|P7
2,P1|P9
2,P12|P8
2,P1|P11
2,P16|P20
2,P7|P8
2,P16|P18
2,P12|P20
2,P14|P8
2,P13|P2
2,P15|P5
2,P13|P4
2,P12|P19
2,P1|P8
2,P17|P20
2,P10|P2
2,P15|P4
2,P10|P11
2,P10|P17
2,P2|P4
2,P20|P5
2,P11|P7
2,P1|P5
2,P1|P11
2,P20|P4
2,P1|P2
3,P5|P8
3,P13|P8
3,P17|P8
3,P1|P2
3,P10|P8
3,P3|P6
3,P16|P2
3,P11|P9
3,P2|P9
3,P13|P14
3,P2|P3
3,P13|P14
3,P15|P4
3,P3|P4
3,P10|P17
3,P14|P7
3,P1|P2
3,P11|P3
3,P10|P13
3,P10|P9
3,P3|P6
3,P13|P2
3,P4|P6
3,P20|P7
3,P13|P9
3,P18|P6
3,P4|P5
3,P2|P3
3,P11|P20
3,P12|P15
3,P11|P14
3,P15|P8
3,P14|P16
3,P16|P20
3,P17|P19
3,P14|P7
3,P5|P7
3,P12|P3
3,P10|P6
3,P11|P17
3,P15|P16
3,P10|P18
3,P17|P5
3,P6|P9
3,P19|P20
3,P20|P9
3,P19|P20
4,P11|P12
4,P3|P7
4,P11|P13
4,P12|P9
4,P13|P8
4,P1|P4
4,P2|P6
4,P1|P2
4,P3|P5
4,P3|P5
4,P3|P7
4,P15|P3
4,P12|P9
4,P17|P7
4,P16|P4
4,P16|P4
4,P19|P2
4,P10|P17
4,P18|P2
4,P19|P6
4,P1|P9
4,P14|P9
4,P15|P20
4,P12|P15
4,P4|P5
4,P11|P9
4,P15|P17
4,P2|P20
4,P15|P9
4,P10|P13
4,P12|P2
4,P7|P8
4,P17|P7
4,P3|P4
4,P1|P20
4,P16|P17
4,P13|P19
4,P18|P6
4,P17|P19
4,P1|P18
4,P2|P3
4,P13|P5
4,P20|P4
4,P14|P9
4,P5|P8
4,P11|P19
4,P14|P5
5,P12|P8
5,P1|P7
5,P14|P2
5,P15|P16
5,P18|P9
5,P14|P20
5,P1|P15
5,P2|P3
5,P20|P4
5,P10|P3
5,P20|P4
5,P12|P7
5,P19|P20
5,P12|P15
5,P1|P2
5,P12|P19
5,P10|P15
5,P1|P20
5,P1|P20
5,P13|P14
5,P11|P17
5,P10|P6
5,P17|P18
5,P4|P8
5,P13|P5
5,P15|P4
5,P10|P2
5,P16|P19
5,P19|P3
5,P14|P20
5,P3|P6
5,P11|P14
5,P15|P16
5,P19|P2
5,P1|P18
5,P14|P8
5,P15|P5
5,P20|P7
5,P11|P3
5,P14|P4
5,P14|P9
5,P10|P4
5,P10|P5
5,P15|P16
5,P10|P4
5,P10|P8
5,P14|P17
5,P1|P6
